sl_pct,tp_pct,reward_risk,total_trades,wins,losses,win_rate,profit_factor,expectancy,premature_stops,premature_pct,total_profit,total_loss,net_profit
8.0,1.5,0.1875,22711,21141,1570,0.9308705032803487,2.5248009554140127,0.8432697811633127,461,0.29363057324840763,31711.5,12560.0,19151.5
8.0,2.0,0.25,18378,16808,1570,0.914571770595277,2.6764331210191084,1.1457177059527694,337,0.21464968152866243,33616.0,12560.0,21056.0
8.0,2.5,0.3125,14927,13357,1570,0.8948214644603738,2.658638535031847,1.3956253768339248,252,0.16050955414012738,33392.5,12560.0,20832.5
8.0,3.0,0.375,12017,10447,1570,0.8693517516851128,2.4953025477707005,1.5628692685362409,197,0.12547770700636943,31341.0,12560.0,18781.0
8.0,4.0,0.5,8192,6622,1570,0.808349609375,2.108917197452229,1.7001953125,108,0.06878980891719745,26488.0,12560.0,13928.0
8.0,5.0,0.625,5874,4304,1570,0.7327204630575417,1.713375796178344,1.5253660197480419,67,0.04267515923566879,21520.0,12560.0,8960.0
8.0,6.0,0.75,4389,2819,1570,0.6422875370243791,1.346656050955414,0.9920255183413076,33,0.021019108280254776,16914.0,12560.0,4354.0
8.0,7.0,0.875,3448,1878,1570,0.5446635730858469,1.046656050955414,0.16995359628770323,20,0.012738853503184714,13146.0,12560.0,586.0
8.0,8.0,1.0,2882,1312,1570,0.45523941707147814,0.8356687898089172,-0.7161693268563494,12,0.007643312101910828,10496.0,12560.0,-2064.0
8.0,10.0,1.25,2251,681,1570,0.3025322079075966,0.5421974522292994,-2.554420257663261,5,0.0031847133757961785,6810.0,12560.0,-5750.0
8.0,12.0,1.5,1901,331,1570,0.174118884797475,0.3162420382165605,-4.5176223040505,3,0.001910828025477707,3972.0,12560.0,-8588.0
8.0,15.0,1.875,1712,142,1570,0.08294392523364486,0.1695859872611465,-6.0922897196261685,1,0.0006369426751592356,2130.0,12560.0,-10430.0
