sl_pct,tp_pct,reward_risk,total_trades,wins,losses,win_rate,profit_factor,expectancy,premature_stops,premature_pct,total_profit,total_loss,net_profit
1.5,15.0,10.0,21668,108,21560,0.0049843086579287425,0.05009276437847866,-1.4177589071441759,35,0.0016233766233766235,1620.0,32340.0,-30720.0
2.0,1.0,0.5,36445,19268,17177,0.528687062697215,0.5608662746696164,-0.413938811908355,8323,0.48454328462478896,19268.0,34354.0,-15086.0
2.0,1.5,0.75,32911,15734,17177,0.4780772386132296,0.6869942364790126,-0.32672966485369637,5868,0.3416196076148338,23601.0,34354.0,-10753.0
2.0,2.0,1.0,30102,12925,17177,0.4293734635572387,0.7524596844617802,-0.28250614577104516,4220,0.24567735925947487,25850.0,34354.0,-8504.0
2.0,2.5,1.25,27716,10539,17177,0.3802496752778179,0.7669412586598359,-0.28887646124981936,3070,0.17872736799208244,26347.5,34354.0,-8006.5
2.0,3.0,1.5,25561,8384,17177,0.3279996870231994,0.7321418175467195,-0.3600015648840029,2260,0.13157128718635386,25152.0,34354.0,-9202.0
2.0,4.0,2.0,22556,5379,17177,0.2384731335343146,0.6263026139605287,-0.5691611987941123,1351,0.07865168539325842,21516.0,34354.0,-12838.0
2.0,5.0,2.5,20695,3518,17177,0.16999275187243296,0.5120218897362753,-0.8100507368929695,853,0.04965942830529196,17590.0,34354.0,-16764.0
2.0,6.0,3.0,19476,2299,17177,0.11804271924419799,0.40152529545322235,-1.0556582460464161,553,0.032194213192059146,13794.0,34354.0,-20560.0
2.0,7.0,3.5,18736,1559,17177,0.08320879590093937,0.31766315421784946,-1.2511208368915456,339,0.019735693077953077,10913.0,34354.0,-23441.0
2.0,8.0,4.0,18281,1104,17177,0.0603905694436847,0.257087966466787,-1.396094305563153,220,0.012807824416370728,8832.0,34354.0,-25522.0
2.0,10.0,5.0,17769,592,17177,0.03331644999718611,0.17232345578389707,-1.6002026000337668,94,0.0054724340688129475,5920.0,34354.0,-28434.0
2.0,12.0,6.0,17459,282,17177,0.016152127842373562,0.09850381323863305,-1.7738702102067703,52,0.003027303952960354,3384.0,34354.0,-30970.0
2.0,15.0,7.5,17299,122,17177,0.007052430776345453,0.05326890609536007,-1.8801086768021273,21,0.001222565057926297,1830.0,34354.0,-32524.0
2.5,1.0,0.4,34868,21271,13597,0.6100435929792359,0.6257556814003089,-0.36484742457267416,6320,0.4648084136206516,21271.0,33992.5,-12721.5
2.5,1.5,0.6,30811,17214,13597,0.5586965694070299,0.759608737221446,-0.26521372237188023,4388,0.32271824667206,25821.0,33992.5,-8171.5
2.5,2.0,0.8,27590,13993,13597,0.5071765132294309,0.8232992571890858,-0.21770569046756094,3152,0.23181584172979333,27986.0,33992.5,-6006.5
2.5,2.5,1.0,24897,11300,13597,0.45386994416998033,0.8310656762521145,-0.2306502791500984,2309,0.16981687136868426,28250.0,33992.5,-5742.5
2.5,3.0,1.2,22550,8953,13597,0.3970288248337029,0.7901448849010811,-0.3163414634146342,1691,0.12436566889755094,26859.0,33992.5,-7133.5
2.5,4.0,1.6,19308,5711,13597,0.29578413093018435,0.6720305949841877,-0.5774031489538018,1019,0.07494300213282341,22844.0,33992.5,-11148.5
2.5,5.0,2.0,17335,3738,13597,0.21563311220074993,0.5498271677575935,-0.8827516584943753,633,0.04655438699713172,18690.0,33992.5,-15302.5
2.5,6.0,2.4,16050,2453,13597,0.15283489096573208,0.432977862763845,-1.2009034267912773,399,0.02934470839155696,14718.0,33992.5,-19274.5
2.5,7.0,2.8,15261,1664,13597,0.10903610510451478,0.3426638229021108,-1.4641570015071095,234,0.01720967860557476,11648.0,33992.5,-22344.5
2.5,8.0,3.2,14760,1163,13597,0.07879403794037941,0.27370743546370524,-1.672662601626016,161,0.011840847245715967,9304.0,33992.5,-24688.5
2.5,10.0,4.0,14210,613,13597,0.043138634764250526,0.18033389718320217,-1.9607670654468685,73,0.005368831359858792,6130.0,33992.5,-27862.5
2.5,12.0,4.8,13893,296,13597,0.021305693514719642,0.10449363830256675,-2.191067444036565,38,0.0027947341325292342,3552.0,33992.5,-30440.5
2.5,15.0,6.0,13725,128,13597,0.009326047358834244,0.05648304773111716,-2.336794171220401,15,0.001103184525998382,1920.0,33992.5,-32072.5
3.0,1.0,0.3333333333333333,33420,22679,10741,0.6786056253740276,0.7038140458678583,-0.2855774985038897,4912,0.45731309933898145,22679.0,32223.0,-9544.0
3.0,1.5,0.5,28973,18232,10741,0.6292755323922272,0.848710548366074,-0.1682601042349775,3370,0.31375104738851134,27348.0,32223.0,-4875.0
3.0,2.0,0.6666666666666666,25474,14733,10741,0.5783544005652822,0.914439996275952,-0.10822799717358911,2412,0.22456009682524905,29466.0,32223.0,-2757.0
3.0,2.5,0.8333333333333334,22587,11846,10741,0.5244609731261345,0.9190640225925581,-0.1154646478062602,1763,0.1641374173726841,29615.0,32223.0,-2608.0
3.0,3.0,1.0,20084,9343,10741,0.4651961760605457,0.8698445209943209,-0.20882294363672593,1301,0.12112466250814635,28029.0,32223.0,-4194.0
3.0,4.0,1.3333333333333333,16700,5959,10741,0.3568263473053892,0.7397200757223101,-0.5022155688622756,771,0.07178102597523509,23836.0,32223.0,-8387.0
3.0,5.0,1.6666666666666667,14636,3895,10741,0.2661246242142662,0.6043819631939918,-0.8710030062858705,476,0.04431617167861465,19475.0,32223.0,-12748.0
3.0,6.0,2.0,13307,2566,10741,0.19283084091079883,0.4777953635601899,-1.2645224318028103,286,0.02662694348757099,15396.0,32223.0,-16827.0
3.0,7.0,2.3333333333333335,12471,1730,10741,0.13872183465640286,0.37581851472550665,-1.6127816534359716,168,0.01564100176892282,12110.0,32223.0,-20113.0
3.0,8.0,2.6666666666666665,11951,1210,10741,0.10124675759350682,0.3004065419110573,-1.8862856664714251,114,0.0106135369146262,9680.0,32223.0,-22543.0
3.0,10.0,3.3333333333333335,11373,632,10741,0.05557021014683901,0.19613319678490518,-2.277587268091093,54,0.00502746485429662,6320.0,32223.0,-25903.0
3.0,12.0,4.0,11044,303,10741,0.027435711698659906,0.11283865561865748,-2.588464324520101,31,0.002886137231170282,3636.0,32223.0,-28587.0
3.0,15.0,5.0,10870,129,10741,0.011867525298988041,0.06005027464854296,-2.786384544618215,14,0.0013034168140769015,1935.0,32223.0,-30288.0
3.5,1.0,0.2857142857142857,32247,23781,8466,0.7374639501348963,0.8025716310620634,-0.18141222439296667,3810,0.4500354358610914,23781.0,29631.0,-5850.0
3.5,1.5,0.42857142857142855,27507,19041,8466,0.6922237975787982,0.963906044345449,-0.03888101210600903,2561,0.302504134183794,28561.5,29631.0,-1069.5
3.5,2.0,0.5714285714285714,23791,15325,8466,0.6441511495943845,1.0343896594782491,0.04283132276911461,1820,0.21497755728797543,30650.0,29631.0,1019.0
3.5,2.5,0.7142857142857143,20734,12268,8466,0.5916851548181731,1.035064628260943,0.050110928909038455,1341,0.15839829907866762,30670.0,29631.0,1039.0
3.5,3.0,0.8571428571428571,18111,9645,8466,0.5325492794434322,0.9765110863622557,-0.038429683617690724,999,0.11800141743444366,28935.0,29631.0,-696.0
3.5,4.0,1.1428571428571428,14604,6138,8466,0.42029580936729666,0.8285916776349094,-0.34778142974527504,592,0.06992676588707772,24552.0,29631.0,-5079.0
3.5,5.0,1.4285714285714286,12458,3992,8466,0.32043666720179803,0.6736188451284129,-0.7762883287847169,379,0.04476730451216631,19960.0,29631.0,-9671.0
3.5,6.0,1.7142857142857142,11090,2624,8466,0.23660955816050497,0.5313354257365597,-1.2522091974752028,228,0.026931254429482635,15744.0,29631.0,-13887.0
3.5,7.0,2.0,10228,1762,8466,0.17227219397731716,0.41625324828726673,-1.6911419632381697,136,0.01606425702811245,12334.0,29631.0,-17297.0
3.5,8.0,2.2857142857142856,9700,1234,8466,0.12721649484536082,0.3331645911376599,-2.037010309278351,90,0.010630758327427357,9872.0,29631.0,-19759.0
3.5,10.0,2.857142857142857,9112,646,8466,0.0708955223880597,0.21801491681009752,-2.5429104477611943,40,0.004724781478856603,6460.0,29631.0,-23171.0
3.5,12.0,3.4285714285714284,8778,312,8466,0.0355434039644566,0.12635415612027945,-2.949077238550923,22,0.0025986298133711316,3744.0,29631.0,-25887.0
3.5,15.0,4.285714285714286,8600,134,8466,0.015581395348837209,0.06783436266072694,-3.211744186046512,9,0.0010630758327427356,2010.0,29631.0,-27621.0
4.0,1.0,0.25,31388,24546,6842,0.7820186058366254,0.8968868751826952,-0.08990697081687293,3045,0.44504530838935985,24546.0,27368.0,-2822.0
4.0,1.5,0.375,26399,19557,6842,0.7408235160422744,1.0718905290850629,0.07452933823250896,2045,0.2988892136802105,29335.5,27368.0,1967.5
4.0,2.0,0.5,22526,15684,6842,0.6962620971322028,1.1461560947091494,0.17757258279321664,1461,0.21353405437006723,31368.0,27368.0,4000.0
4.0,2.5,0.625,19374,12532,6842,0.6468462888407144,1.1447676118094126,0.20450087746464352,1077,0.15741011400175386,31330.0,27368.0,3962.0
4.0,3.0,0.75,16694,9852,6842,0.5901521504732239,1.0799473838059046,0.13106505331256724,792,0.1157556270096463,29556.0,27368.0,2188.0
4.0,4.0,1.0,13099,6257,6842,0.4776700511489427,0.9144986845951476,-0.1786395908084586,473,0.06913183279742766,25028.0,27368.0,-2340.0
4.0,5.0,1.25,10915,4073,6842,0.37315620705451213,0.7441172171879568,-0.6415941365093909,298,0.04355451622332651,20365.0,27368.0,-7003.0
4.0,6.0,1.5,9514,2672,6842,0.2808492747529956,0.5857936275942707,-1.191507252470044,180,0.026308097047646885,16032.0,27368.0,-11336.0
4.0,7.0,1.75,8631,1789,6842,0.2072760977870467,0.4575781935106694,-1.7199629243424863,109,0.01593101432329728,12523.0,27368.0,-14845.0
4.0,8.0,2.0,8095,1253,6842,0.15478690549722052,0.36626717334112835,-2.142557134033354,71,0.010377082724349606,10024.0,27368.0,-17344.0
4.0,10.0,2.5,7499,657,6842,0.08761168155754101,0.24006138555977785,-2.773436458194426,29,0.0042385267465653315,6570.0,27368.0,-20798.0
4.0,12.0,3.0,7158,316,6842,0.04414640961162336,0.13855597778427362,-3.2936574462140262,18,0.002630809704764689,3792.0,27368.0,-23576.0
4.0,15.0,3.75,6979,137,6842,0.019630319530018626,0.0750876936568255,-3.6270239289296464,6,0.0008769365682548962,2055.0,27368.0,-25313.0
4.5,1.0,0.2222222222222222,30698,25117,5581,0.8181966251873086,1.0000995440880767,8.143853019737524e-05,2474,0.44328973302275576,25117.0,25114.5,2.5
4.5,1.5,0.3333333333333333,25518,19937,5581,0.7812916372756485,1.1907662903900138,0.18774982365389126,1665,0.2983336319655976,29905.5,25114.5,4791.0
4.5,2.0,0.4444444444444444,21544,15963,5581,0.7409487560341627,1.2712178223735293,0.31616691422205734,1182,0.21179000179179358,31926.0,25114.5,6811.5
4.5,2.5,0.5555555555555556,18324,12743,5581,0.6954267627155643,1.2684903143602302,0.36798733900894987,866,0.15516932449381832,31857.5,25114.5,6743.0
4.5,3.0,0.6666666666666666,15572,9991,5581,0.641600308245569,1.1934539807680822,0.31200231184176763,653,0.11700412112524637,29973.0,25114.5,4858.5
4.5,4.0,0.8888888888888888,11921,6340,5581,0.5318345776361043,1.0097752294491231,0.020593909906886587,390,0.0698799498297796,25360.0,25114.5,245.5
4.5,5.0,1.1111111111111112,9709,4128,5581,0.42517252034195074,0.821835991160485,-0.46086105675146793,243,0.043540584124708834,20640.0,25114.5,-4474.5
4.5,6.0,1.3333333333333333,8284,2703,5581,0.32629164654756154,0.6457624081705787,-1.0739377112506037,149,0.02669772442214657,16218.0,25114.5,-8896.5
